Modelo,Acurácia média,Acurácia mediana,Acurácia mínima,Acurácia máxima,Desvio padrão
Perceptron,0.03482091761223483,0.0347064627528367,0.02826837691169216,0.04025653675382339,0.002191466529489327
ADALINE,0.0008130241736556488,0.0005920078934385792,0.0,0.0034040453872718306,0.0007385441824539792
MLP,0.7268870251603355,0.9358658115441539,0.059694129255056724,0.9417858904785398,0.37337756444207965
